"","Year","Country","Number of Significant Volcanic Eruptions","Number of Significant Earthquakes"
"1",1987,"Antarctica",0,0
"2",1987,"Cameroon",0,0
"3",1987,"Canada",0,0
"4",1987,"Chile",0,2
"5",1987,"China",0,3
"6",1987,"Colombia",0,0
"7",1987,"Costa Rica",0,0
"8",1987,"Ecuador",0,2
"9",1987,"El Salvador",0,0
"10",1987,"Eritrea",0,0
"11",1987,"Ethiopia",0,0
"12",1987,"Greece",0,0
"13",1987,"Guadeloupe",0,0
"14",1987,"Guatemala",1,0
"15",1987,"Iceland",0,0
"16",1987,"Indonesia",1,2
"17",1987,"Italy",1,1
"18",1987,"Japan",0,4
"19",1987,"Martinique",0,0
"20",1987,"Mexico",0,0
"21",1987,"Montserrat",0,0
"22",1987,"New Zealand",0,1
"23",1987,"Nicaragua",0,0
"24",1987,"North Korea",0,0
"25",1987,"Pacific Ocean",0,0
"26",1987,"Papua New Guinea",0,3
"27",1987,"Peru",0,2
"28",1987,"Philippines",0,2
"29",1987,"Portugal",0,0
"30",1987,"Russia",0,0
"31",1987,"Saint Vincent and the Grenadines",0,0
"32",1987,"Samoa",0,0
"33",1987,"Saudi Arabia",0,0
"34",1987,"Solomon Islands",0,1
"35",1987,"Spain",0,0
"36",1987,"Taiwan",0,0
"37",1987,"Tanzania",0,0
"38",1987,"Tonga",0,1
"39",1987,"Trinidad and Tobago",0,0
"40",1987,"Turkey",0,0
"41",1987,"United States",0,5
"42",1987,"Vanuatu",0,1
"43",1987,"World",3,33
"44",1987,"Yemen",0,0
"45",1988,"Antarctica",0,0
"46",1988,"Cameroon",0,0
"47",1988,"Canada",0,1
"48",1988,"Chile",1,1
"49",1988,"China",0,4
"50",1988,"Colombia",0,0
"51",1988,"Costa Rica",1,0
"52",1988,"Ecuador",0,0
"53",1988,"El Salvador",0,0
"54",1988,"Eritrea",0,0
"55",1988,"Ethiopia",0,0
"56",1988,"Greece",0,1
"57",1988,"Guadeloupe",0,0
"58",1988,"Guatemala",0,1
"59",1988,"Iceland",0,0
"60",1988,"Indonesia",1,0
"61",1988,"Italy",0,0
"62",1988,"Japan",1,0
"63",1988,"Martinique",0,0
"64",1988,"Mexico",0,0
"65",1988,"Montserrat",0,0
"66",1988,"New Zealand",0,0
"67",1988,"Nicaragua",0,0
"68",1988,"North Korea",0,0
"69",1988,"Pacific Ocean",1,0
"70",1988,"Papua New Guinea",0,2
"71",1988,"Peru",0,0
"72",1988,"Philippines",0,3
"73",1988,"Portugal",0,0
"74",1988,"Russia",0,0
"75",1988,"Saint Vincent and the Grenadines",0,0
"76",1988,"Samoa",0,0
"77",1988,"Saudi Arabia",0,0
"78",1988,"Solomon Islands",0,1
"79",1988,"Spain",0,0
"80",1988,"Taiwan",0,1
"81",1988,"Tanzania",0,0
"82",1988,"Tonga",0,0
"83",1988,"Trinidad and Tobago",0,0
"84",1988,"Turkey",0,0
"85",1988,"United States",0,1
"86",1988,"Vanuatu",0,0
"87",1988,"World",5,30
"88",1988,"Yemen",0,0
"89",1989,"Antarctica",0,0
"90",1989,"Cameroon",0,0
"91",1989,"Canada",0,0
"92",1989,"Chile",0,0
"93",1989,"China",0,5
"94",1989,"Colombia",0,0
"95",1989,"Costa Rica",0,0
"96",1989,"Ecuador",0,1
"97",1989,"El Salvador",0,0
"98",1989,"Eritrea",0,0
"99",1989,"Ethiopia",0,0
"100",1989,"Greece",0,0
"101",1989,"Guadeloupe",0,0
"102",1989,"Guatemala",0,0
"103",1989,"Iceland",0,0
"104",1989,"Indonesia",0,4
"105",1989,"Italy",0,0
"106",1989,"Japan",2,3
"107",1989,"Martinique",0,0
"108",1989,"Mexico",0,1
"109",1989,"Montserrat",0,0
"110",1989,"New Zealand",0,0
"111",1989,"Nicaragua",0,0
"112",1989,"North Korea",0,0
"113",1989,"Pacific Ocean",0,0
"114",1989,"Papua New Guinea",0,1
"115",1989,"Peru",0,0
"116",1989,"Philippines",0,1
"117",1989,"Portugal",0,0
"118",1989,"Russia",0,1
"119",1989,"Saint Vincent and the Grenadines",0,0
"120",1989,"Samoa",0,0
"121",1989,"Saudi Arabia",0,0
"122",1989,"Solomon Islands",0,0
"123",1989,"Spain",0,0
"124",1989,"Taiwan",0,0
"125",1989,"Tanzania",0,0
"126",1989,"Tonga",0,0
"127",1989,"Trinidad and Tobago",0,0
"128",1989,"Turkey",0,1
"129",1989,"United States",0,3
"130",1989,"Vanuatu",0,0
"131",1989,"World",2,35
"132",1989,"Yemen",0,0
"133",1990,"Antarctica",0,0
"134",1990,"Cameroon",0,0
"135",1990,"Canada",0,0
"136",1990,"Chile",0,0
"137",1990,"China",0,3
"138",1990,"Colombia",0,0
"139",1990,"Costa Rica",0,3
"140",1990,"Ecuador",0,1
"141",1990,"El Salvador",0,0
"142",1990,"Eritrea",0,0
"143",1990,"Ethiopia",0,0
"144",1990,"Greece",0,1
"145",1990,"Guadeloupe",0,0
"146",1990,"Guatemala",1,0
"147",1990,"Iceland",0,0
"148",1990,"Indonesia",2,3
"149",1990,"Italy",0,2
"150",1990,"Japan",3,2
"151",1990,"Martinique",0,0
"152",1990,"Mexico",0,0
"153",1990,"Montserrat",0,0
"154",1990,"New Zealand",0,1
"155",1990,"Nicaragua",0,0
"156",1990,"North Korea",0,0
"157",1990,"Pacific Ocean",0,0
"158",1990,"Papua New Guinea",1,1
"159",1990,"Peru",1,2
"160",1990,"Philippines",0,4
"161",1990,"Portugal",0,0
"162",1990,"Russia",1,0
"163",1990,"Saint Vincent and the Grenadines",0,0
"164",1990,"Samoa",0,0
"165",1990,"Saudi Arabia",0,0
"166",1990,"Solomon Islands",0,0
"167",1990,"Spain",0,0
"168",1990,"Taiwan",0,2
"169",1990,"Tanzania",0,0
"170",1990,"Tonga",0,0
"171",1990,"Trinidad and Tobago",0,0
"172",1990,"Turkey",0,1
"173",1990,"United States",0,1
"174",1990,"Vanuatu",0,1
"175",1990,"World",10,51
"176",1990,"Yemen",0,0
"177",1991,"Antarctica",0,0
"178",1991,"Cameroon",0,0
"179",1991,"Canada",0,0
"180",1991,"Chile",1,0
"181",1991,"China",0,2
"182",1991,"Colombia",0,1
"183",1991,"Costa Rica",0,2
"184",1991,"Ecuador",0,0
"185",1991,"El Salvador",0,0
"186",1991,"Eritrea",0,0
"187",1991,"Ethiopia",0,0
"188",1991,"Greece",0,0
"189",1991,"Guadeloupe",0,0
"190",1991,"Guatemala",0,1
"191",1991,"Iceland",0,0
"192",1991,"Indonesia",1,2
"193",1991,"Italy",1,0
"194",1991,"Japan",1,0
"195",1991,"Martinique",0,0
"196",1991,"Mexico",0,0
"197",1991,"Montserrat",0,0
"198",1991,"New Zealand",0,1
"199",1991,"Nicaragua",0,0
"200",1991,"North Korea",0,0
"201",1991,"Pacific Ocean",0,0
"202",1991,"Papua New Guinea",0,0
"203",1991,"Peru",0,3
"204",1991,"Philippines",1,1
