"","Date","Climate","Global_Warming","Enviroment","Climate_Change","Green_Party","Greenhouse_Gas","Fossil_Fuels","Emissions","Sea_Level_Rise","Renewable_Energy"
"1",2005-01-01,83,49,55,30,"5",0,0,100,0,0
"2",2005-02-01,60,35,70,0,"6",80,58,65,0,0
"3",2005-03-01,40,22,36,27,"5",67,0,37,0,0
"4",2005-04-01,93,30,16,25,"6",77,0,0,0,0
"5",2005-05-01,83,15,75,11,"5",70,100,38,0,47
"6",2005-06-01,60,26,100,33,"5",68,0,18,0,0
"7",2005-07-01,30,8,40,12,"5",0,0,0,0,100
"8",2005-08-01,23,8,28,17,"0",0,0,38,0,0
"9",2005-09-01,67,20,42,40,"13",62,0,50,0,83
"10",2005-10-01,55,31,49,18,"6",0,0,46,0,0
"11",2005-11-01,82,19,53,27,"20",57,0,31,0,38
"12",2005-12-01,68,47,38,23,"35",85,41,47,0,38
"13",2006-01-01,45,24,19,27,"100",97,69,13,0,32
"14",2006-02-01,67,8,48,12,"4",77,0,0,0,34
"15",2006-03-01,57,38,23,32,"0",0,0,12,0,58
"16",2006-04-01,57,26,22,19,"5",0,0,26,0,32
"17",2006-05-01,64,45,40,33,"8",0,0,37,0,61
"18",2006-06-01,56,23,55,22,"3",45,0,37,0,31
"19",2006-07-01,19,10,73,15,"3",0,0,13,0,0
"20",2006-08-01,24,14,62,7,"5",0,0,12,0,0
"21",2006-09-01,44,16,33,16,"4",41,58,11,0,55
"22",2006-10-01,65,22,41,17,"8",36,0,0,0,24
"23",2006-11-01,60,47,46,19,"10",34,25,9,0,23
"24",2006-12-01,48,52,34,32,"9",36,52,20,0,25
"25",2007-01-01,38,49,67,27,"9",46,22,51,0,31
"26",2007-02-01,74,100,27,54,"6",33,24,37,0,45
"27",2007-03-01,45,88,36,31,"7",29,21,72,0,40
"28",2007-04-01,48,72,37,54,"4",61,0,42,100,62
"29",2007-05-01,41,86,35,26,"6",43,0,39,0,29
"30",2007-06-01,49,33,58,19,"7",30,0,40,0,30
"31",2007-07-01,27,24,49,27,"4",46,0,17,0,31
"32",2007-08-01,26,17,23,23,"2",0,21,40,0,39
"33",2007-09-01,39,32,26,16,"8",82,0,38,0,19
"34",2007-10-01,47,46,10,18,"4",38,18,48,0,34
"35",2007-11-01,40,41,22,12,"4",86,35,54,0,25
"36",2007-12-01,49,42,24,30,"6",54,0,15,0,27
"37",2008-01-01,51,48,35,32,"3",0,16,0,0,15
"38",2008-02-01,39,28,27,17,"28",24,51,19,0,16
"39",2008-03-01,32,41,36,22,"18",22,48,36,73,15
"40",2008-04-01,48,34,27,38,"0",45,16,24,0,45
"41",2008-05-01,54,41,47,30,"0",46,17,38,0,47
"42",2008-06-01,43,27,51,16,"2",49,35,33,0,16
"43",2008-07-01,28,14,36,12,"0",100,0,27,0,17
"44",2008-08-01,22,12,30,8,"4",26,19,36,0,18
"45",2008-09-01,43,27,37,23,"68",0,0,32,0,40
"46",2008-10-01,43,26,29,19,"79",54,0,64,71,51
"47",2008-11-01,46,31,34,22,"0",35,33,19,0,23
"48",2008-12-01,35,26,37,27,"6",24,0,13,0,16
"49",2009-01-01,44,34,39,26,"2",43,0,17,0,29
"50",2009-02-01,49,21,19,24,"2",0,17,6,0,63
"51",2009-03-01,38,43,34,13,"2",50,58,16,0,20
"52",2009-04-01,34,27,24,34,"5",33,0,12,0,30
"53",2009-05-01,41,20,34,33,"9",23,33,25,0,54
"54",2009-06-01,39,16,29,26,"3",34,0,31,75,23
"55",2009-07-01,30,7,32,16,"4",24,0,27,0,41
"56",2009-08-01,25,8,35,18,"0",37,0,27,0,25
"57",2009-09-01,44,21,23,16,"14",0,0,12,0,45
"58",2009-10-01,48,30,27,40,"9",21,0,34,69,14
"59",2009-11-01,74,49,19,48,"3",42,15,29,0,36
"60",2009-12-01,86,53,29,77,"2",54,15,41,0,59
"61",2010-01-01,63,35,21,38,"1",19,27,21,0,45
"62",2010-02-01,58,23,24,20,"6",41,44,17,0,21
"63",2010-03-01,34,28,23,24,"6",37,13,30,0,12
"64",2010-04-01,37,18,27,20,"5",19,28,16,0,65
"65",2010-05-01,41,27,43,22,"2",30,14,22,0,13
"66",2010-06-01,34,24,47,27,"2",40,14,22,0,33
"67",2010-07-01,15,11,28,16,"3",0,0,32,0,27
"68",2010-08-01,19,5,33,17,"7",0,0,32,0,19
"69",2010-09-01,29,9,24,20,"7",18,38,24,0,36
"70",2010-10-01,39,21,18,18,"8",25,0,14,0,28
"71",2010-11-01,42,12,32,31,"6",33,24,18,0,22
"72",2010-12-01,38,17,31,43,"2",17,37,33,57,23
"73",2011-01-01,37,23,24,24,"4",23,13,12,0,12
"74",2011-02-01,34,19,19,23,"4",15,35,8,48,10
"75",2011-03-01,30,21,17,20,"10",17,25,19,0,29
"76",2011-04-01,24,13,13,16,"41",9,7,20,30,49
"77",2011-05-01,24,13,24,15,"21",9,26,12,0,33
"78",2011-06-01,28,12,26,15,"4",18,20,15,0,28
"79",2011-07-01,20,6,30,13,"2",20,7,19,0,27
"80",2011-08-01,15,7,19,12,"1",24,7,26,0,29
"81",2011-09-01,26,10,18,12,"5",18,6,22,0,12
"82",2011-10-01,28,14,11,13,"6",12,30,25,0,25
"83",2011-11-01,31,19,21,17,"1",20,12,29,26,19
"84",2011-12-01,26,12,13,25,"1",28,23,19,0,21
"85",2012-01-01,28,11,19,12,"1",15,5,12,0,20
"86",2012-02-01,29,9,10,20,"3",28,17,24,52,18
"87",2012-03-01,22,14,13,11,"3",18,5,20,24,22
"88",2012-04-01,26,11,12,25,"7",11,27,12,0,31
"89",2012-05-01,33,13,10,22,"3",19,27,23,0,23
"90",2012-06-01,24,11,23,18,"3",23,5,23,25,23
"91",2012-07-01,15,5,35,9,"1",11,0,14,25,13
"92",2012-08-01,9,4,19,6,"2",15,11,10,24,13
"93",2012-09-01,16,6,8,6,"5",11,5,16,24,27
"94",2012-10-01,26,8,18,13,"3",0,24,9,0,18
"95",2012-11-01,36,14,19,17,"4",7,14,20,33,16
"96",2012-12-01,24,11,18,12,"2",16,23,20,27,19
"97",2013-01-01,20,12,15,12,"2",7,10,16,24,15
"98",2013-02-01,28,10,10,14,"2",14,35,23,23,12
"99",2013-03-01,16,9,9,11,"2",16,31,18,0,31
"100",2013-04-01,23,8,14,18,"2",28,27,17,20,25
"101",2013-05-01,27,13,15,15,"4",13,18,28,0,34
"102",2013-06-01,24,10,23,17,"3",32,14,17,21,22
"103",2013-07-01,15,6,20,9,"2",16,0,12,21,15
"104",2013-08-01,12,3,14,6,"1",6,0,12,20,15
"105",2013-09-01,20,7,6,10,"5",12,9,16,0,14
"106",2013-10-01,32,8,11,14,"2",20,24,19,0,23
"107",2013-11-01,36,13,15,18,"2",20,21,25,75,17
"108",2013-12-01,23,10,17,13,"3",12,13,3,29,24
"109",2014-01-01,36,13,11,16,"1",8,23,23,18,22
"110",2014-02-01,24,6,8,12,"3",24,17,13,79,20
"111",2014-03-01,25,9,10,17,"1",13,23,23,0,32
"112",2014-04-01,29,9,10,20,"1",17,40,18,18,21
"113",2014-05-01,24,8,13,21,"4",11,29,17,37,35
"114",2014-06-01,29,12,16,21,"1",22,9,21,21,15
"115",2014-07-01,19,4,20,6,"2",22,0,19,21,28
"116",2014-08-01,13,2,15,8,"<1",0,5,7,0,13
"117",2014-09-01,30,8,10,18,"2",27,4,26,19,24
"118",2014-10-01,30,8,13,15,"4",28,8,19,19,19
"119",2014-11-01,33,10,14,18,"3",26,37,11,0,37
"120",2014-12-01,28,9,10,18,"1",21,4,10,19,28
"121",2015-01-01,30,10,13,18,"3",14,24,19,0,16
"122",2015-02-01,27,10,8,18,"2",18,30,13,0,22
"123",2015-03-01,23,11,7,14,"3",25,8,15,0,42
"124",2015-04-01,30,6,9,21,"10",31,8,14,37,28
"125",2015-05-01,34,9,13,19,"9",14,24,15,27,32
"126",2015-06-01,31,14,16,25,"3",33,24,24,18,22
"127",2015-07-01,20,6,14,15,"2",23,8,15,18,19
"128",2015-08-01,22,5,11,22,"8",14,4,9,19,31
"129",2015-09-01,28,8,8,26,"22",27,27,49,18,27
"130",2015-10-01,40,8,8,32,"42",17,25,26,0,37
"131",2015-11-01,61,15,10,60,"3",37,44,40,20,68
"132",2015-12-01,48,22,6,57,"2",29,46,37,42,52
"133",2016-01-01,45,13,8,42,"1",38,27,24,18,42
"134",2016-02-01,30,5,4,30,"2",23,24,26,37,36
"135",2016-03-01,32,12,7,31,"1",24,34,46,52,60
"136",2016-04-01,30,11,9,24,"2",33,32,33,18,55
"137",2016-05-01,33,14,11,35,"2",21,31,16,0,40
"138",2016-06-01,37,13,16,28,"1",11,32,25,0,32
"139",2016-07-01,20,4,16,15,"1",29,8,14,19,42
"140",2016-08-01,19,4,11,9,"2",9,4,21,20,26
"141",2016-09-01,29,7,8,20,"4",14,16,17,37,38
"142",2016-10-01,37,13,8,31,"4",42,19,35,0,28
"143",2016-11-01,53,14,7,49,"3",23,26,30,17,46
"144",2016-12-01,44,14,11,31,"2",31,22,45,26,44
"145",2017-01-01,47,15,8,36,"1",39,28,36,16,49
"146",2017-02-01,33,9,8,32,"1",21,38,19,17,30
"147",2017-03-01,33,5,9,30,"1",30,17,26,54,35
"148",2017-04-01,29,10,6,28,"2",19,21,25,16,33
"149",2017-05-01,35,8,8,27,"4",31,22,15,25,41
"150",2017-06-01,53,12,10,37,"3",31,23,24,51,44
"151",2017-07-01,22,4,14,13,"1",16,16,18,0,26
"152",2017-08-01,17,5,7,21,"<1",8,4,20,0,23
"153",2017-09-01,32,9,7,27,"3",26,15,21,0,19
"154",2017-10-01,36,7,8,22,"3",17,28,17,0,31
"155",2017-11-01,39,7,7,31,"1",24,24,20,0,39
"156",2017-12-01,29,9,6,23,"2",32,18,20,24,32
"157",2018-01-01,37,11,6,35,"1",37,13,19,0,45
"158",2018-02-01,25,8,9,18,"2",18,26,14,17,46
"159",2018-03-01,30,8,8,25,"2",12,17,25,31,34
"160",2018-04-01,32,8,7,21,"3",23,14,24,31,33
"161",2018-05-01,33,5,10,21,"3",38,31,19,31,33
"162",2018-06-01,33,6,12,25,"1",26,24,18,0,24
"163",2018-07-01,22,3,9,14,"1",12,4,23,16,18
"164",2018-08-01,25,7,8,17,"1",22,10,24,33,18
"165",2018-09-01,29,6,8,18,"3",19,7,33,16,31
"166",2018-10-01,49,10,7,42,"2",35,14,27,16,44
"167",2018-11-01,46,11,5,42,"1",19,17,25,23,30
"168",2018-12-01,39,9,2,28,"1",20,22,20,33,29
"169",2019-01-01,41,12,8,37,"1",35,24,24,31,50
"170",2019-02-01,42,10,8,26,"3",28,25,19,25,38
"171",2019-03-01,39,6,5,36,"3",19,40,15,31,35
"172",2019-04-01,52,12,5,54,"17",24,24,62,16,43
"173",2019-05-01,55,12,6,61,"7",26,33,28,31,38
"174",2019-06-01,49,10,11,46,"2",19,10,35,31,38
"175",2019-07-01,29,5,7,28,"1",17,0,17,47,26
"176",2019-08-01,31,6,7,29,"2",12,3,21,24,18
"177",2019-09-01,100,8,6,89,"20",27,36,31,30,37
"178",2019-10-01,97,10,6,100,"36",39,31,51,35,46
"179",2019-11-01,62,10,5,56,"4",22,32,36,29,30
"180",2019-12-01,44,6,5,44,"2",21,3,26,45,28
"181",2020-01-01,51,10,6,44,"1",28,24,30,28,44
"182",2020-02-01,50,4,4,32,"3",20,29,37,37,40
"183",2020-03-01,54,5,4,30,"1",17,24,35,12,29
"184",2020-04-01,36,4,4,20,"1",16,29,25,12,30
"185",2020-05-01,36,5,4,19,"2",26,37,20,24,54
"186",2020-06-01,30,5,7,18,"2",29,31,19,19,40
"187",2020-07-01,19,2,6,13,"1",17,9,9,20,32
"188",2020-08-01,15,3,4,13,"1",10,0,17,27,22
"189",2020-09-01,41,5,4,37,"4",19,6,19,13,28
"190",2020-10-01,41,7,5,29,"9",18,35,33,36,48
"191",2020-11-01,34,4,5,30,"2",35,50,28,0,37
