Year,Heat Wave Index (NOAA)
1895,2.5
1896,8.2
1897,15.3
1898,5.7
1899,4.8
1900,12.1
1901,30.9
1902,6.1
1903,1
1904,0.6
1905,4.8
1906,3.5
1907,2
1908,3.1
1909,4.7
1910,6.2
1911,19
1912,3.6
1913,8.9
1914,10.1
1915,3.5
1916,12.1
1917,17.1
1918,22
1919,3
1920,1
1921,11.9
1922,1.9
1923,2.2
1924,3.7
1925,14.9
1926,5.7
1927,0.7
1928,5.8
1929,2.2
1930,50.7
1931,54.5
1932,11.2
1933,21.4
1934,85.2
1935,15.8
1936,125.5
1937,5.5
1938,4.7
1939,8.9
1940,21.4
1941,17.4
1942,6.7
1943,6.7
1944,7
1945,0.6
1946,1
1947,13.2
1948,8.7
1949,6.9
1950,1.7
1951,6.6
1952,18.5
1953,7.2
1954,28.2
1955,12.8
1956,2.9
1957,0.5
1958,2.4
1959,1.7
1960,3.7
1961,4.3
1962,2.8
1963,2.9
1964,4
1965,0.7
1966,4
1967,0.4
1968,1.4
1969,2.9
1970,1.9
1971,4.1
1972,3.2
1973,2.2
1974,1.5
1975,5.7
1976,4.8
1977,7.8
1978,3.6
1979,2.1
1980,24.7
1981,6.9
1982,0.9
1983,13.9
1984,1.6
1985,3
1986,8.1
1987,4.5
1988,29.1
1989,4.2
1990,7.4
1991,3.9
1992,2.7
1993,4.1
1994,7.3
1995,8.3
1996,1.5
1997,1.3
1998,13.4
1999,9
2000,9.1
2001,9.6
2002,11.3
2003,11.8
2004,1.2
2005,5.6
2006,22
2007,16.5
2008,3.1
2009,6.8
2010,14.9
2011,28.5
2012,25
2013,8.8
2014,3.9
2015,12.9
